"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","stop_url","location_type","parent_station","wheelchair_boarding"
92112,"92112","Ustowo 12","",53.383441,14.518663,"http://www.zditm.szczecin.pl/s92112",,,
92211,"92211","Kurów Na Klifie I nż 11","na żądanie",53.372893,14.510517,"http://www.zditm.szczecin.pl/s92211",,,
92212,"92212","Kurów Na Klifie I nż 12","na żądanie",53.373184,14.510761,"http://www.zditm.szczecin.pl/s92212",,,
92311,"92311","Kurów Na Klifie II nż 11","na żądanie",53.367479,14.506963,"http://www.zditm.szczecin.pl/s92311",,,
92312,"92312","Kurów Na Klifie II nż 12","na żądanie",53.368001,14.507379,"http://www.zditm.szczecin.pl/s92312",,,
92411,"92411","Kurów 11","",53.365758,14.505842,"http://www.zditm.szczecin.pl/s92411",,,
92412,"92412","Kurów 12","",53.365200,14.505091,"http://www.zditm.szczecin.pl/s92412",,,
92611,"92611","Siadło Dolne 11","",53.353810,14.493970,"http://www.zditm.szczecin.pl/s92611",,,
92612,"92612","Siadło Dolne 12","",53.353663,14.493895,"http://www.zditm.szczecin.pl/s92612",,,
92711,"92711","Siadło Górne 11","",53.350269,14.474937,"http://www.zditm.szczecin.pl/s92711",,,
92712,"92712","Siadło Górne 12","",53.350327,14.474937,"http://www.zditm.szczecin.pl/s92712",,,
92811,"92811","Moczyły 11","",53.323074,14.467148,"http://www.zditm.szczecin.pl/s92811",,,
92812,"92812","Moczyły 12","",53.323071,14.467256,"http://www.zditm.szczecin.pl/s92812",,,
92911,"92911","Kamieniec 11","",53.309022,14.436501,"http://www.zditm.szczecin.pl/s92911",,,
93011,"93011","Rosówek Granica nż 11","na żądanie",53.309371,14.411074,"http://www.zditm.szczecin.pl/s93011",,,
93012,"93012","Rosówek Granica 12","",53.309458,14.411181,"http://www.zditm.szczecin.pl/s93012",,,
93111,"93111","Kamieniec Osiedle nż 11","na żądanie",53.308720,14.431663,"http://www.zditm.szczecin.pl/s93111",,,
93112,"93112","Kamieniec Osiedle nż 12","na żądanie",53.308852,14.432371,"http://www.zditm.szczecin.pl/s93112",,,
93221,"93221","Będargowo 21","",53.390408,14.442257,"http://www.zditm.szczecin.pl/s93221",,,
93331,"93331","Warnik Skrzyżowanie nż 31","na żądanie",53.379459,14.405769,"http://www.zditm.szczecin.pl/s93331",,,
93411,"93411","Barnisław 11","",53.364324,14.410135,"http://www.zditm.szczecin.pl/s93411",,,
93511,"93511","Barnisław 37 nż 11","na żądanie",53.361395,14.414212,"http://www.zditm.szczecin.pl/s93511",,,
93621,"93621","Smolęcin 21","",53.357076,14.439835,"http://www.zditm.szczecin.pl/s93621",,,
93631,"93631","Smolęcin 31","",53.357396,14.438703,"http://www.zditm.szczecin.pl/s93631",,,
93712,"93712","Karwowo 12","",53.371552,14.441201,"http://www.zditm.szczecin.pl/s93712",,,
93812,"93812","Przecław 15 nż 12","na żądanie",53.378525,14.469192,"http://www.zditm.szczecin.pl/s93812",,,
93911,"93911","Stobno 15 nż 11","na żądanie",53.413519,14.427425,"http://www.zditm.szczecin.pl/s93911",,,
93912,"93912","Stobno 15 nż 12","na żądanie",53.413591,14.425614,"http://www.zditm.szczecin.pl/s93912",,,
94011,"94011","Małe Stobno nż 11","na żądanie",53.410331,14.411903,"http://www.zditm.szczecin.pl/s94011",,,
94111,"94111","Bobolin nż 11","na żądanie",53.397321,14.391706,"http://www.zditm.szczecin.pl/s94111",,,
94211,"94211","Bobolin Kościół 11","",53.395174,14.391612,"http://www.zditm.szczecin.pl/s94211",,,
94311,"94311","Warnik 11","",53.382157,14.404385,"http://www.zditm.szczecin.pl/s94311",,,
94411,"94411","Mierzyn Nasienna 11","",53.437467,14.461027,"http://www.zditm.szczecin.pl/s94411",,,
94412,"94412","Mierzyn Nasienna 12","",53.437991,14.461349,"http://www.zditm.szczecin.pl/s94412",,,
94511,"94511","Mierzynianka 11","",53.433840,14.463586,"http://www.zditm.szczecin.pl/s94511",,,
94512,"94512","Mierzynianka 12","",53.432823,14.464949,"http://www.zditm.szczecin.pl/s94512",,,
94611,"94611","Mierzyn Szkoła 11","",53.426821,14.462985,"http://www.zditm.szczecin.pl/s94611",,,
94711,"94711","Mierzyn Spółdzielców nż 11","na żądanie",53.427738,14.475587,"http://www.zditm.szczecin.pl/s94711",,,
94712,"94712","Mierzyn Spółdzielców nż 12","na żądanie",53.427546,14.476659,"http://www.zditm.szczecin.pl/s94712",,,
94811,"94811","Mierzyn 11","",53.429560,14.467089,"http://www.zditm.szczecin.pl/s94811",,,
94812,"94812","Mierzyn 12","",53.428946,14.469600,"http://www.zditm.szczecin.pl/s94812",,,
94911,"94911","Mierzyn Grafitowa 11","",53.431411,14.457380,"http://www.zditm.szczecin.pl/s94911",,,
94912,"94912","Mierzyn Grafitowa 12","",53.431216,14.458009,"http://www.zditm.szczecin.pl/s94912",,,
95011,"95011","Pargowo 11","",53.282480,14.430324,"http://www.zditm.szczecin.pl/s95011",,,
95111,"95111","Ostoja Skrzyżowanie nż 11","na żądanie",53.414876,14.462052,"http://www.zditm.szczecin.pl/s95111",,,
95112,"95112","Ostoja Skrzyżowanie nż 12","na żądanie",53.415100,14.462699,"http://www.zditm.szczecin.pl/s95112",,,
95211,"95211","Rosówek nż 11","na żądanie",53.323858,14.420861,"http://www.zditm.szczecin.pl/s95211",,,
95212,"95212","Rosówek nż 12","na żądanie",53.324157,14.421256,"http://www.zditm.szczecin.pl/s95212",,,
95311,"95311","Wołczkowo Słoneczna nż 11","na żądanie",53.470090,14.449125,"http://www.zditm.szczecin.pl/s95311",,,
95312,"95312","Wołczkowo Słoneczna nż 12","na żądanie",53.470676,14.448585,"http://www.zditm.szczecin.pl/s95312",,,
95411,"95411","Wołczkowo Kościół 11","",53.475691,14.445168,"http://www.zditm.szczecin.pl/s95411",,,
